Domain,TLD,Source_Count,Sources
web.config,config,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/گزارش عملکرد ماهانه بهمن ماه شایانpdf/analysis_pages_0007-0008.md
console.js,js,1,Malwares and Logs/access.log
b.yigit,yigit,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
bg1.jpg,jpg,1,Malwares and Logs/ameen-alkhalij.com.log
bahar.tuncel,tuncel,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
sj.lee,lee,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528052745_default_112.220.89.44_ad.exchange.mail_358740.txt
a.ocak,ocak,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220509095927_default_212.156.77.214_ad.exchange.mail_939687.txt
authlogin.cgi,cgi,1,Malwares and Logs/access.log
mail.plannet.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
alexander.gumadlas,gumadlas,1,Malwares and Logs/All_Proxy_Shell_Targets/Saudi/20220511053336_default_213.236.56.117_ad.exchange.mail_691453.txt
kumar.sanjay,sanjay,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528085858_default_3.35.110.181_ad.exchange.mail_716037.txt
udana.com,com,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0035-0036.md
wp-l0gin.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
robomongo.json,json,1,Malwares and Logs/access.log
pe.php,php,1,Malwares and Logs/ameen-alkhalij.com.log
mail.agrizanjan.ir,ir,1,Malwares and Logs/All_Proxy_Shell_Targets/Iran/IR_Proxyshell_target2.txt
panod.eu,eu,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510022249_default_95.0.240.217_ad.exchange.mail_821413.txt
a.com,com,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528071926_default_211.110.214.156_ad.exchange.mail_297288.txt
lijiang.zhu,zhu,1,Malwares and Logs/All_Proxy_Shell_Targets/KR/user-found/20220528083215_default_211.58.43.200_ad.exchange.mail_188966.txt
abdullah.karatekin,karatekin,1,Malwares and Logs/All_Proxy_Shell_Targets/Turkey/20220510015731_default_213.14.25.197_ad.exchange.mail_304247.txt
erbil.controller,controller,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/20220510092026_default_194.126.2.223_ad.exchange.mail_419326.txt
